Row Labels,Sum of orders,Sum of revenue
AC,80,19575.33
AL,396,94095.89
AM,145,27585.47
AP,67,16141.81
BA,3253,590816.8
CE,1273,264551.39
DF,2074,344923.24
ES,1992,316666.12
GO,1950,333156.23
MA,713,146804.7
MG,11319,1813954.27
MS,701,134367.55
MT,885,181122.98
PA,942,210740.48
PB,516,137763.81
PE,1587,307428.1
PI,475,104932.1
PR,4903,779214.08
RJ,12310,2046357.64
RN,470,99833.44
RO,243,56966
RR,40,8970.5
RS,5328,858574.68
SC,3537,592627.06
SE,332,69943.21
SP,40406,5755999.76
TO,274,60007.37
Grand Total,96211,15373120.01
